time,f0,confidence,loudness
78.69,657.1394518258728,0.95011705,-11.503082299358814
78.7,656.6871009736749,0.94799215,-11.566261973078511
78.71,656.1952346894612,0.94510794,-11.648979786757142
78.72,656.0430317399414,0.9441798,-11.70014521025988
78.73,656.0810796671863,0.93657184,-11.760473743287383
78.74,658.0675918239815,0.9083799,-12.01671099757552
78.75,659.082748389558,0.73077595,-12.197886211089825
78.76,657.2467802193642,0.5183379,-12.305297540312713
78.77,652.6441329054055,0.04556197,-12.405828694878409
78.78,652.9648704546246,0.16172251,-12.421525930488835
78.79,659.8798908739998,0.1458638,-12.25792590131396
78.8,661.6923879109594,0.14982048,-12.143245682486528
78.81,665.3556063201416,0.06710252,-12.265706371304319
78.82,657.914169883564,0.08035982,-12.11424131041896
78.83,634.2297528149402,0.107201874,-11.619752809684305
78.84,575.7352320028999,0.3642428,-11.538263310545682
78.85,556.4441172173958,0.15231794,-11.855933484379692
78.86,558.9483757376703,0.732207,-12.01104210626701
78.87,560.4206402566483,0.8087272,-12.021610838322959
78.88,562.6907090507458,0.89993286,-11.931608800251164
78.89,563.6561522671504,0.94117695,-11.809752973437163
78.9,563.557028207044,0.94723475,-11.70028550456486
78.91,563.2755051549606,0.95158076,-11.641610422980348
78.92,563.3297982515481,0.95418346,-11.645169434811864
78.93,563.7264055883793,0.9540683,-11.656992990595393
78.94,563.6432585045454,0.95566475,-11.62627029893151
78.95,562.9567546207619,0.94966674,-11.593564859864042
78.96,561.6929361358394,0.9410343,-11.604435687300489
78.97,560.15017587526,0.9274972,-11.630047104608575
78.98,557.9801408915383,0.94320166,-11.729244919814569
78.99,556.2502106094097,0.9408362,-11.786307615059032
79.0,554.4091706319507,0.92243654,-11.888543274148699
79.01,553.9907741701138,0.89931655,-11.927947933378597
79.02,555.4313239463813,0.9244503,-11.9194259163774
79.03,557.8562161694573,0.91153455,-11.871933748797526
79.04,559.7341494732299,0.8837997,-11.813129281229942
79.05,560.4352174955002,0.9013542,-11.737545733002118
79.06,560.5437254662816,0.9103854,-11.622797892045538
79.07,560.195181331742,0.91256785,-11.544437797871886
79.08,560.2906907744118,0.91534626,-11.589879719857617
79.09,559.4897861750403,0.9141948,-11.696602830202695
79.1,558.090657207653,0.9096875,-11.849222367641255
79.11,558.0150968941634,0.8942479,-11.97474891795167
79.12,559.5935266582708,0.8575362,-12.13336893981099
79.13,564.2909179274232,0.71287143,-12.263498837710735
79.14,566.301436145174,0.68490374,-12.312813860158949
79.15,567.2479477879788,0.56642073,-12.322552782054572
79.16,577.1619833710504,0.59325004,-12.22064806807608
79.17,576.3904941105046,0.60467196,-12.076978917793383
79.18,579.11088239829,0.6776395,-12.026810160034895
79.19,568.1257353269004,0.2787404,-11.978818675224227
79.2,559.439725214772,0.48828182,-12.052259946192036
79.21,581.345003274317,0.19533122,-12.181598196584858
79.22,586.9696139593746,0.032027632,-12.30572023772888
79.23,587.2930389270264,0.0743939,-12.343758427023742
79.24,589.940798818419,0.023971349,-12.289737614134317
79.25,590.3568991730709,0.017865002,-12.25878751415036
79.26,583.6202175639795,0.20000485,-12.339590492752848
79.27,593.1031650718332,0.034460694,-12.43061145698428
79.28,589.6213758639674,0.016161948,-12.433645241757572
79.29,592.0375262689812,0.04911071,-12.45218799995489
79.3,607.754787054223,0.03680423,-12.512861407736306
79.31,614.9047474186277,0.052559853,-12.40839871084094
79.32,624.8378736083525,0.036523283,-12.417862292676292
79.33,635.3295519649614,0.04750061,-12.465111970024719
79.34,660.8858569897104,0.058047235,-12.471114972072984
79.35,660.4184573708541,0.077480674,-12.469825662784315
79.36,623.2919915207874,0.06231582,-12.432849253738652
79.37,624.4911897758737,0.035956293,-12.417092780668733
79.38,630.3949244432304,0.1695708,-12.453161734963189
79.39,629.2909176982957,0.12849069,-12.464958139548068
79.4,630.8918631845339,0.52338463,-12.442173646487694
79.41,628.6958060145566,0.12958762,-12.430631261078176
79.42,631.1363904748786,0.06804049,-12.40812112136861
79.43,627.1124668222244,0.04268092,-12.426866177541308
79.44,623.075473873359,0.059978545,-12.445316535527967
79.45,619.4182283241674,0.112059385,-12.459513807910099
79.46,619.6336636881595,0.042325556,-12.42899501012869
79.47,621.3451785587666,0.019859314,-12.397046751542643
79.48,629.6489207052668,0.045847923,-12.410031076323548
79.49,632.6659265788159,0.026871175,-12.416734381684297
79.5,634.3340235396754,0.033733726,-12.402787584069152
79.51,629.409115765477,0.06768146,-12.422478380525838
79.52,631.4583612046105,0.040530592,-12.442735579336416
79.53,638.2123852938421,0.07827371,-12.381102785427249
79.54,647.7415361036707,0.065060645,-12.350650240011186
79.55,654.9468061180773,0.071179986,-12.433652039122144
79.56,660.962882757413,0.041980714,-12.42040430584608
79.57,659.8313410442144,0.070372105,-12.453548573599937
79.58,635.0008500244307,0.11482835,-12.415186108597021
79.59,646.2344369632287,0.10703537,-12.399447140216681
79.6,650.934370779145,0.09981376,-12.416961332736799
79.61,647.8366586077548,0.0717023,-12.421594313022421
79.62,640.9344812061224,0.07580128,-12.40650606424256
79.63,633.8484768887134,0.08967975,-12.347566557781262
79.64,646.0793597896845,0.086265534,-12.364317279300892
79.65,651.4703276281251,0.09593883,-12.379534633816595
79.66,656.9353125108598,0.085751444,-12.440014005974879
79.67,632.563379948993,0.10287973,-12.444697208116548
79.68,626.3055038826269,0.11869514,-12.4463263140392
79.69,634.2924333390388,0.06977427,-12.467198593764625
79.7,650.36001761938,0.12575716,-12.482511556965402
79.71,658.3434321626735,0.12421164,-12.439753131883753
79.72,624.3333679548322,0.08229393,-12.440686079411826
